species_name,common_name,vocal_learning_status_Wirthlin2024,vocal_learner_binary,group_living,brain_mass_g,adult_body_mass_g,brain_body_ratio,longevity,gestation_days,birth_weight_g,HAQER_matching_bases,HAQER_alignment_base_length,HAQER_sequence_similarity,HAR_matching_bases,HAR_alignment_base_length,HAR_sequence_similarity,HAQER_sequence_similarity_scaled,HAR_sequence_similarity_scaled,neonate_body_mass_g_PanTHERIA,adult_body_mass_g_PanTHERIA,obstetric_risk
Eschrichtius_robustus,Grey whale,suspected_vocal_learner,1,0,4316.67,30000000.02,0.4861695731662365,80,395,500000,170815,332416,51.38591403542549,531820,609693,87.22750630235217,1.2581220549131267,0.9154218901440028,500000,27324024.19,1.0021982504249638
Orcinus_orca,Killer whale,high_confidence_vocal_learner,1,1,6052,3273000,0.5804958193467566,90,435,159333.33,165933,325715,50.94423038545968,525580,606384,86.67445051320615,1.1554333044493243,0.724173278055004,158745.07,5628758.66,1.0201938413673326
Tursiops_truncatus,Bottlenose dolphin,high_confidence_vocal_learner,1,1,1573,170480,0.6110336895637627,53,365,19350,153308,301229,50.894170216015056,518738,599284,86.55962782253489,1.1437946208605771,0.6844671929580349,24369.6,281040.55,1.1731423156383878
Inia_geoffrensis,Amazon river dolphin,high_confidence_vocal_learner,1,0,633.645,92003.5,0.5644553683447383,26,287,6800,166021,326384,50.86677042992304,517629,599941,86.27998419844619,1.1374243379737583,0.5877654568292356,6799.99,121430.76,0.9468155781326019
Lipotes_vexillifer,Yangtze river dolphin,suspected_vocal_learner,1,0,558,180000,0.5226435349014478,24,319,11593.3,164776,325205,50.668347657631344,524148,606595,86.40822954359993,1.0912922555392495,0.6321131424495242,NA,NA,NA
Delphinapterus_leucas,Beluga whale,high_confidence_vocal_learner,1,1,1921,498250,0.5763155300467269,40,416,66000,167513,328362,51.0147337389832,526002,605917,86.81089984271773,1.1718249034532686,0.7713579299503557,57000,1381640.73,1.0382559578575956
Monodon_monoceros,Narwhal,suspected_vocal_learner,1,1,2993.7,1578329.998,0.5608417774680353,50,450,80000,167229,328321,50.934603634857346,525144,605661,86.70592955465186,1.1531951437420918,0.7350588398817404,79999.99,938126.44,1.243126502749733
Neophocaena_asiaeorientalis,Narrow-ridged finless porpoise,suspected_vocal_learner,1,NA,NA,NA,NA,NA,NA,NA,164462,323981,50.76285337720422,523468,605815,86.40723653260484,1.1132642580242242,0.6317697557997016,NA,NA,NA
Phocoena_phocoena,Harbor porpoise,suspected_vocal_learner,1,0,1735,142430,0.6285506349856363,20,320,6887.5,166135,325929,50.97275787057918,525016,606478,86.56802060420988,1.162065770471154,0.6873694460008705,8892.16,52730.93,1.310650095784133
Kogia_breviceps,Pygmy sperm whale,suspected_vocal_learner,1,1,1019,334000,0.5445894742056862,17,335,82000,165020,324878,50.79445207123905,525175,605978,86.66568753321077,1.1206107613574936,0.7211430091476516,82000,431500,1.4682307344618795
Mesoplodon_bidens,Sowerbyâ€™s beaked whale,suspected_vocal_learner,1,0,NA,NA,NA,NA,NA,NA,160048,313365,51.073987203420934,516233,596296,86.57327904262313,1.1856009719679916,0.6891878322614002,NA,NA,NA
Ziphius_cavirostris,Cuvier's beaked whale,high_confidence_vocal_learner,1,0,2004,2273000.001,0.5194440440180698,36,365,NA,158145,310261,50.97160132920347,519703,600093,86.60374308648827,1.161796881666372,0.6997224044007179,NA,NA,NA
Ailurus_fulgens,Lesser panda,non_vocal_learner,0,0,46.8,5590,0.4457065139089048,19,130,102.02,156042,326642,47.771566424403474,536298,611167,87.7498294246908,0.41780831464583307,1.0960430393476006,104.04,5170.08,0.018126573286906967
Lycaon_pictus,African hunting dog,non_vocal_learner,0,0,129,22050,0.48592934897033085,17,72,318,151575,339192,44.68707988395953,536077,611543,87.6597393805505,-0.29931596352276946,1.064889589292457,297.45,21999.99,0.13448973447154286
Vulpes_lagopus,Arctic fox,non_vocal_learner,0,0,35.5,3415,0.4387367492469767,16.3,52,70,158385,336596,47.054926380586814,539277,612402,88.05931398003273,0.2511938822629411,1.2030638731110774,69.17,3584.37,-0.09461612862161813
Spilogale_gracilis,Western spotted skunk,non_vocal_learner,0,0,6.81,420,0.31760119595282976,NA,NA,9.5,156453,332657,47.031326561593474,527498,611673,86.23856210753131,0.24570706851335913,0.5734415539739249,NA,NA,NA
Pteronura_brasiliensis,Giant otter,non_vocal_learner,0,0,85.6,24000,0.44118277818994456,12.8,68,204.25,159177,334748,47.551292315413384,531953,611848,86.94201827904969,0.3665959299142029,0.8166991404754055,204.25,26000,-0.06986234257784796
Mellivora_capensis,Honey badger,non_vocal_learner,0,0,72.97,8080,0.4768231891211287,31.3,70,210,157721,331303,47.60626978928654,531798,611618,86.94937035862253,0.3793778567437969,0.8192415151180156,210,8999.99,0.21246003167365515
Mustela_putorius,European polecat,non_vocal_learner,0,NA,7.87,915,0.3025489128021186,14,42,9.5,153622,328554,46.757001893143894,530329,610523,86.86470452382629,0.18192825889098616,0.7899637754868291,9.5,975.55,-0.9350254852923058
Odobenus_rosmarus,Walrus,high_confidence_vocal_learner,1,NA,1410.25,1022225,0.5240488794650185,40,331,61195.45,168381,341160,49.35543440028139,537219,612226,87.74847850303647,0.7860479435184999,1.0955758859491496,59090.9,1042996.25,1.119027317095561
Zalophus_californianus,California sea lion,high_confidence_vocal_learner,1,1,405,91000,0.5257981970572425,31,259,6758.57,166482,337565,49.31850162190985,536062,612455,87.52675706786621,0.7774612981617538,1.0189038438534173,6347.89,137194.86,0.8868645963475844
Leptonychotes_weddellii,Weddell seal,high_confidence_vocal_learner,1,1,564.17,378666.67,0.4932382909085972,25,304,27395.84,163962,334126,49.071907005141775,529225,603337,87.71631774613525,0.7201295561582308,1.0844545845509896,27395.84,400000,1.1160051649207725
Mirounga_angustirostris,Northern elephant seal,high_confidence_vocal_learner,1,1,670,700000,0.48349485044632945,20.25,252,34815.885,169159,342132,49.44261279272328,535049,610456,87.64743077306146,0.8063163872066325,1.0606332300874242,34381.77,1112390.81,0.9313007020116653
Neomonachus_schauinslandi,Hawaiian monk seal,suspected_vocal_learner,1,0,NA,NA,NA,NA,NA,NA,169052,341156,49.55269729976902,536920,611156,87.85318314800149,0.8319103626114858,1.131783115711183,NA,NA,NA
Ailuropoda_melanoleuca,Giant panda,non_vocal_learner,0,0,205,87500,0.4677762229954255,34,130,109.29,167849,343160,48.91275206900571,538225,611851,87.96667816184005,0.6831270057508894,1.1710300855497275,104.39,117999.99,-0.6222153186135295
Ursus_maritimus,Polar bear,non_vocal_learner,0,0,507,317000,0.4917249261268297,45,190,649.625,163857,338376,48.42453365486914,537824,611971,87.88390299540337,0.5696192068885477,1.1424061456016537,670.48,371703.81,-0.13973644566724625
Cryptoprocta_ferox,Fossa,non_vocal_learner,0,0,32.1,6775,0.39324998704177966,20,90,100,166684,342589,48.65421831991103,536603,612022,87.67707696782142,0.6230194884150992,1.070884987166611,99.96,9500,-0.1602687931506512
Acinonyx_jubatus,Cheetah,non_vocal_learner,0,0,111,43000,0.4414237408530743,19,88,465.33,163259,336491,48.518088150946085,535193,611194,87.56515934384173,0.5913700557215442,1.032183484217939,441.66,50577.92,0.10237374855796394
Felis_catus,Domestic cat,non_vocal_learner,0,NA,25.6,3300,0.4002371425479484,14,65,101.87,164603,338901,48.569641281672226,536480,612464,87.593719794143,0.6033558436880544,1.04205978709362,113,2884.8,0.2392846690093295
Felis_nigripes,Black-footed cat,non_vocal_learner,0,0,20.1,1100,0.42848661528647414,15.6,66,72,162633,333400,48.78014397120576,532266,609008,87.39885190342326,0.6522964330875977,0.974673793904024,72,1362.77,0.23577539835368913
Puma_concolor,Puma,non_vocal_learner,0,0,154,54432,0.461906255131815,20,92,400,162140,338557,47.891492422250906,531248,609534,87.15641785363901,0.4456903765424658,0.89083925776085,409.87,53954.05,0.057431899604517986
Panthera_onca,Jaguar,non_vocal_learner,0,0,149,77700,0.4443761099622296,28,99,820,168064,343540,48.921231879839326,538659,612859,87.89281058122668,0.6850985099683096,1.1454864197063728,817.3,83943.09,0.23096261591092918
Panthera_pardus,Leopard,non_vocal_learner,0,0,135,48000,0.45507882642025954,27,97,550,168192,344041,48.887196584128056,539327,613223,87.94957136310934,0.6771855116299584,1.1651144951540722,553.39,52399.99,0.18582340171656475
Panthera_tigris,Tiger,non_vocal_learner,0,NA,269.73,195000,0.4595299333512019,26,105,1248.59,161647,332592,48.60219127339202,536622,611260,87.7894840166214,0.6109235179218002,1.109755734917415,1313.5,161914.66,0.26254207184389067
Helogale_parvula,Dwarf mongoose,non_vocal_learner,0,0,4.8,267,0.2807492585023008,10,55,NA,160739,338535,47.48076269809621,532153,611978,86.95623045272869,0.3501982247386735,0.8216137594780804,NA,NA,NA
Mungos_mungo,South african banded mongoose,non_vocal_learner,0,1,10.5,860,0.3479944924275504,11,60,24.2,160448,338311,47.426184782640824,532307,612060,86.9697415286083,0.3375091928003934,0.8262859364275229,24.2,1260,-0.40907859641330563
Suricata_suricatta,Meerkat,non_vocal_learner,0,0,10.3,725,0.35409704111136614,12,77,29.75,158233,336200,47.06513979773944,530859,612325,86.69562732209202,0.2535684393592929,0.7314962920933349,30.5,729.99,-0.09134594305407703
Hyaena_hyaena,Striped hyena,non_vocal_learner,0,0,97.5,36300,0.4361941546736793,24,90,669.5,163195,338377,48.22875077206784,536076,613066,87.44180887539025,0.5241008826340221,0.9895284639562406,653.23,35070.51,0.35407578081790936
Paradoxurus_hermaphroditus,Asian palm civet,non_vocal_learner,0,0,25.95,2773.5,0.41072488875286506,24.5,60,88.65,164973,340771,48.41168996188056,537380,612803,87.69212944453601,0.5666331267281444,1.076090185876513,92.07,3200,0.09373559798899136
Macroglossus_sobrinus,Long-tongued fruit bat,suspected_vocal_learner,1,NA,0.692,21.7,-0.119639897479593,6,130,NA,148133,305196,48.53700572746694,510755,603881,84.57874978679575,0.5957682766991159,-5.273093826194188e-4,NA,NA,NA
Eidolon_helvum,Straw-colored fruit bat,suspected_vocal_learner,1,1,4.4325,266.75,0.2665378855024424,22,165,49.14,146700,297617,49.291539125789186,515055,603088,85.40295943543894,0.7711926825219609,0.2844872487630781,48.28,254.61,0.7089679358288236
Pteropus_alecto,Black flying fox,high_confidence_vocal_learner,1,1,7.03967,595,0.3054774260097459,NA,NA,NA,152423,312052,48.84538474356838,519074,608344,85.32573675420487,0.6674645141196429,0.25778337747621766,NA,NA,NA
Pteropus_vampyrus,Large flying fox,high_confidence_vocal_learner,1,1,9.654,1078.07,0.32470225093341804,30,192,133,149723,305963,48.935001944679584,514585,604578,85.11474119137647,0.688299965925217,0.18482037927638287,NA,NA,NA
Rousettus_aegyptiacus,Egyptian fruit bat,high_confidence_vocal_learner,1,1,2.26075,129.62,0.16767985595635945,25,116,21.06,147390,306246,48.127975549068395,516767,607466,85.0692878284546,0.5006712589014589,0.16910244856453466,19.13,134,0.2798919416453877
Craseonycteris_thonglongyai,Bumblebee bat,suspected_vocal_learner,1,0,0.087,2.56,NA,NA,NA,NA,132486,278407,47.58716555259027,491320,596465,82.37197488536628,0.37493623841570906,-0.7636377321898881,NA,NA,NA
Hipposideros_armiger,Great roundleaf bat,high_confidence_vocal_learner,1,NA,0.8,56,-0.05543454794963692,NA,NA,NA,144437,283641,50.92246889554048,510695,597932,85.41021387047356,1.1503738909795111,0.28699585758534796,NA,NA,NA
Hipposideros_galeritus,Cantor's leaf-nosed bat,high_confidence_vocal_learner,1,0,0.279,10.4,-0.5451107405275867,NA,NA,NA,149932,307985,48.681591635956295,518238,609932,84.96652085806286,0.6293836171777475,0.13356527339752314,NA,NA,NA
Megaderma_lyra,Greater false vampire bat,high_confidence_vocal_learner,1,NA,0.8935,35.3,-0.03159726217781989,14,150,8.86,137139,287652,47.6753160068416,499452,604422,82.63299482811678,0.3954306805364125,-0.6733761297290153,10.22,39.27,0.4152577442038914
Tadarida_brasiliensis,Mexican free-tailed bat,high_confidence_vocal_learner,1,1,NA,NA,NA,12,78,2.995,148410,301156,49.28010731979439,513003,605770,84.68610198590224,0.7685348574626881,0.03659545379380386,3.19,12.61,-0.35900025904435456
Mormoops_blainvillei,Ghost-faced bat,suspected_vocal_learner,1,NA,NA,NA,NA,NA,NA,NA,141326,294461,47.9948108578046,510291,604871,84.36360810817514,0.46971128165793746,-0.07492404881865902,NA,NA,NA
Pteronotus_parnellii,Parnell's mustached bat,high_confidence_vocal_learner,1,NA,0.5315,19.1,-0.21427758102073072,NA,NA,NA,126465,265801,47.57882776964722,497572,591658,84.09790791301732,0.3729977548152256,-0.16680409881175878,NA,NA,NA
Noctilio_leporinus,Greater bulldog bat,suspected_vocal_learner,1,1,1.184,59.16,0.04139420796026333,NA,NA,6.16,128844,273231,47.15570341579103,489716,595498,82.23638030690279,0.2746239273220434,-0.8105268082051291,NA,NA,NA
Carollia_perspicillata,Seba's short-tailed bat,high_confidence_vocal_learner,1,1,0.50867,17.07,-0.23823720919237285,12.4,95,5,133095,284591,46.76711491227762,498249,599907,83.05437342788132,0.18427947406125395,-0.5276619469095728,4.89,19.23,-0.009896037469724
Desmodus_rotundus,Common vampire bat,high_confidence_vocal_learner,1,1,0.916,33.26,-0.02503710453030825,12,189,8,137766,290700,47.39112487100103,503712,602346,83.62502614776226,0.32935797751782586,-0.33032825507612873,6.94,33.16,0.06264493353896342
Anoura_caudifer,Tailed tailless bat,suspected_vocal_learner,1,NA,0.4225,10.5,-0.36640932984224595,NA,NA,2.14,137350,290000,47.36206896551724,500609,601201,83.2681582365964,0.322602656989307,-0.4537344177978966,2.14,10.81,-0.9679999370644209
Micronycteris_hirsuta,Hairy big-eared bat,suspected_vocal_learner,1,NA,NA,NA,NA,NA,NA,NA,134464,286059,47.00568763786491,500443,600534,83.33300029640287,0.23974617536930268,-0.43131180838605576,NA,NA,NA
Tonatia_saurophila,Stripe-headed round-eared bat,suspected_vocal_learner,1,NA,NA,NA,NA,NA,NA,NA,136076,288638,47.14417367082643,500960,601254,83.31919621324765,0.27194333205058036,-0.43608530826872366,NA,NA,NA
Artibeus_jamaicensis,Jamacian fruit-eating bat,suspected_vocal_learner,1,1,0.98025,39.33,-0.00543238160263367,10,76,8.9,130937,279961,46.76972864077496,496303,600122,82.70035092864451,0.18488714997016292,-0.6500841563070449,10.57,43.63,0.37671467647956014
Rhinolophus_sinicus,Chinese rufous horseshoe bat,high_confidence_vocal_learner,1,NA,NA,NA,NA,NA,NA,2.86,149187,306241,48.71555408975284,520812,609673,85.42480969306497,0.6372796802159018,0.2920431437139609,NA,NA,NA
Eptesicus_fuscus,Big brown bat,suspected_vocal_learner,1,1,0.21433,11.23,-0.6368335185931231,19,35,3.555,121179,259112,46.76703510451079,484708,586848,82.5951524074377,0.18426091924299481,-0.6864621701882212,3.21,17.49,-0.5801204651059089
Lasiurus_borealis,Eastern red bat,suspected_vocal_learner,1,0,0.17,7.7,-0.8680870050524182,NA,NA,1.5,116731,254080,45.94261649874055,472924,583262,81.08260095806001,-0.007411370397360417,-1.2095077129414364,4.29,12.33,0.17916750262281425
Miniopterus_natalensis,Atal long-fingered bat,suspected_vocal_learner,1,NA,NA,NA,NA,NA,NA,2.86,128911,270352,47.68265076640824,500002,597541,83.67660127087514,0.3971359673291405,-0.31249339843555574,3,10.43,-0.31110588931725297
Miniopterus_schreibersii,Common bent-wing bat,suspected_vocal_learner,1,NA,0.2703,11.78,-0.5304172639941427,NA,NA,2.86,131019,273574,47.89161250703648,500881,598638,83.67009778864688,0.44571829552153824,-0.3147423251700894,2.86,11.46,-0.4773177905155569
Myotis_brandtii,Brandt's bat,high_confidence_vocal_learner,1,1,NA,NA,NA,NA,NA,NA,120878,254828,47.43513271696988,491134,590079,83.23190623628362,0.3395895328708357,-0.4662704853725183,NA,NA,NA
Myotis_davidii,David's myotis,suspected_vocal_learner,1,NA,NA,NA,NA,NA,NA,NA,119749,254283,47.09280604680612,487915,590337,82.65024892561368,0.26000067325995296,-0.6674096029085905,NA,NA,NA
Myotis_lucifugus,Little brown bat,suspected_vocal_learner,1,1,0.16133,8,-0.877304452055121,30,55,2.07,115431,242760,47.549431537320814,484932,582410,83.26299342387665,0.36616331037478533,-0.4555204279685487,2.18,7.8,-0.7043079079261657
Myotis_myotis,Greater mouse-eared bat,high_confidence_vocal_learner,1,1,0.489,27.92,-0.21487504585581663,22,65,5.95,124232,261646,47.48094753980569,490689,591678,82.93176356058531,0.35024119930696895,-0.570060864720352,6,25.59,0.05970946480729172
Pipistrellus_pipistrellus,Common pipistrelle,high_confidence_vocal_learner,1,1,NA,NA,NA,9,42,1.125,109535,243320,45.01685023836923,472139,582574,81.04360991050063,-0.22264637062079318,-1.2229909525638654,1.28,5.3,-1.7246874692124432
Erinaceus_europaeus,Western european hedgehog,non_vocal_learner,0,0,NA,NA,NA,11.7,30,15.62,62378,155390,40.14286633631508,456718,571349,79.93678119678165,-1.3558178536978118,-1.6057361646623878,15.54,777.95,-0.5599387871303392
Solenodon_paradoxus,Hispaniolan solenodon,non_vocal_learner,0,1,4.67,900,0.22656125163304192,11,50,89.99,144219,304151,47.41690804896252,517921,609826,84.92930770416478,0.33535240888981754,0.12069683557599437,89.99,899.99,0.5397605416910685
Sorex_araneus,Common shrew,non_vocal_learner,0,0,0.23,8.9,-0.6722971165854404,2,21,0.44,55075,146543,37.58282551878971,456300,568262,80.2974684212564,-1.9510117050173268,-1.4810092701377993,0.42,9.18,-4.103132249484656
Condylura_cristata,Star-nosed mole,non_vocal_learner,0,0,1.37,50,0.08047261976813952,2,40,1.5,87820,213212,41.18905127291147,486631,585391,83.1292247403872,-1.1125862468646146,-0.5017781031622813,1.5,48.15,-1.9159512825849874
Scalopus_aquaticus,Eastern mole,non_vocal_learner,0,0,1.48,39.6,0.10656708294224986,3,36,5.355,101594,233589,43.49263021803253,504244,597524,84.38891157509991,-0.5770182142070406,-0.06617402210277525,5.35,87.15,-0.7219790433239741
Uropsilus_gracilis,Gracile shrew mole,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,96542,223487,43.19803836464761,486102,586472,82.88579846949214,-0.6455090205188772,-0.5859557528105505,NA,NA,NA
Equus_asinus,African wild ass,non_vocal_learner,0,NA,434,234000,0.49122437978954936,NA,NA,29249.99,188581,365447,51.602831600751955,541548,614277,88.16022738927226,1.308554063747388,1.2379600803961175,29249.99,164998.49,1.3975506708029974
Equus_caballus,Horse,non_vocal_learner,0,1,693,340722,0.513472117719189,61,337,37900,183842,358051,51.34519942689728,539895,614226,87.89842826581746,1.2486561571473647,1.1474290345423883,37899.99,403598.53,1.2244684443433225
Equus_przewalskii,Przewalski's horse,non_vocal_learner,0,NA,NA,NA,NA,NA,NA,NA,185258,359209,51.57387481939484,540770,614500,88.00162733930024,1.3018217889727932,1.1831156324585388,NA,NA,NA
Ceratotherium_simum,White rhinoceros,non_vocal_learner,0,NA,643,1400000,0.4569073336290057,50,515,51166.67,190086,363664,52.26967750450966,539615,612569,88.09048450052157,1.4635916627485832,1.2138427473197495,48500,2285939.43,0.8721597647500792
Dicerorhinus_sumatrensis,Sumatran rhinoceros,non_vocal_learner,0,NA,NA,NA,NA,32.7,236,23000,192986,368730,52.338025113226486,542099,614266,88.25150667626077,1.4794820642539666,1.2695247747572085,22849.5,1046156.04,0.8159492291634151
Diceros_bicornis,Black rhinoceros,non_vocal_learner,0,0,655,765450,0.47863377111025823,45,474,34999.99,192597,368383,52.28172852710359,541991,614838,88.15183837043253,1.4663934518844897,1.2350591285547756,34999.99,995940.54,0.9634825825865979
Tapirus_indicus,Malayan tapir,non_vocal_learner,0,0,265,201000,0.4569406538432772,36.5,396.5,6848.35,190774,366455,52.05932515588544,540970,614757,87.99737131907403,1.4146860266920545,1.1816438858874707,6848.35,311209.19,0.701933493302328
Tapirus_terrestris,South american tapir,non_vocal_learner,0,0,180.5,160000,0.4335943855564381,35,398,5608.75,192619,370303,52.01659181805171,541101,614849,88.0055102960239,1.4047507866947553,1.1844583723751534,4507.91,169496.64,0.7041721307859964
Manis_javanica,Malayan pangolin,non_vocal_learner,0,0,NA,NA,NA,NA,NA,NA,156635,322246,48.60727518727928,519825,607591,85.55508557565862,0.6121054968440179,0.3370929962309682,NA,NA,NA
Manis_pentadactyla,Chinese pangolin,non_vocal_learner,0,0,NA,NA,NA,NA,NA,90.585,143891,298914,48.137925958636934,470972,549066,85.77693756306164,0.5029846683411686,0.4138101837420649,88.67,4675,-0.03676536954971146
