species_name,common_name,vocal_learning_status_Wirthlin2024,group_living,brain_mass_g,adult_body_mass_g,longevity,gestation_days,birth_weight_g,HAQER_matching_bases,HAQER_alignment_base_length,HAQER_sequence_similarity,HAR_matching_bases,HAR_alignment_base_length,HAR_sequence_similarity
Pan_troglodytes,Chimpanzee,nonVocalLearner,1,354.81,60433.16,59,229,1745.02,1661685,1988566,83.56197380423883,644453,662431,97.28605696291388
Gorilla_gorilla,Gorilla,nonVocalLearner,NA,454.55,120975,50,256,2072,1565440,1886466,82.98267766288923,637997,657873,96.97874817783979
Pongo_abelii,Sumatran orangutan,nonVocalLearner,0,389.495,62815,55,275,1671.93,1243107,1538331,80.80881162766661,634087,661396,95.8710061748181
Macaca_mulatta,Rhesus monkey,nonVocalLearner,1,87.99,4612.78,NA,NA,473.54,845718,1092231,77.43032380512913,624976,660584,94.60961815605586
Macaca_fascicularis,Crab-eating macaque,nonVocalLearner,1,66.93,3109.45,38,165,324.38,826644,1069843,77.26778602093952,622923,658828,94.55017090955454
Pan_paniscus,Bonobo,nonVocalLearner,1,329.7,39700,50,232,1399.765,1287762,1670723,77.07812725388948,637733,658812,96.80045293649782
Erythrocebus_patas,Patas monkey,nonVocalLearner,1,100.2,7376,24,167,546.5,816651,1072313,76.15789419693691,616863,654741,94.2148116583504
Chlorocebus_sabaeus,Green monkey,nonVocalLearner,1,64.91330945,4311.8,13,165,325.895,807372,1060349,76.1421003839302,624576,660279,94.59274034158288
Nasalis_larvatus,Proboscis monkey,nonVocalLearner,1,83.8,9730,23,166,452,782211,1028119,76.08175707286803,620668,658953,94.19002569227244
Mandrillus_leucophaeus,Drill,nonVocalLearner,1,148,15000,28.6,179,772,814870,1072177,76.00144379146354,625524,660174,94.75138372610857
Rhinopithecus_roxellana,Golden snub-nosed monkey,nonVocalLearner,1,117.75699,14750,NA,NA,NA,794707,1049208,75.74351320233929,622940,660397,94.32810869825272
Cercopithecus_neglectus,De brazza's monkey,nonVocalLearner,1,60.9,4130,30,177,260,787530,1039965,75.72658695244552,624019,659979,94.5513417851174
Piliocolobus_tephrosceles,Ugandan red colobus,nonVocalLearner,1,70.95189469,8408.8,NA,NA,NA,794216,1050461,75.60642422707744,621552,658882,94.33434211285177
Rhinopithecus_bieti,Black snub-nosed monkey,nonVocalLearner,1,NA,NA,NA,NA,425.86,745398,987822,75.4587364930119,618830,657130,94.17162509701276
Semnopithecus_entellus,Northern plains gray langur,nonVocalLearner,1,111.5,7010,30,192,500,754901,1000754,75.4332233495944,621356,659891,94.16039921744652
Papio_anubis,Olive baboon,nonVocalLearner,1,152.4,13300,NA,NA,822.79,810839,1076730,75.30569409229798,621699,659494,94.26909115170116
Macaca_nemestrina,Southern pig-tailed macaque,nonVocalLearner,1,110,4456,34.3,172,468.2,803959,1068566,75.23718703383787,623406,659714,94.4964029867488
Cercocebus_atys,Sooty mangabey,nonVocalLearner,1,86.8,6200,26.8,165.08,527.17,795592,1062799,74.85818108598144,623434,660516,94.38590435356599
Ateles_geoffroyi_a,NA,nonVocalLearner,1,104.96,5774,47.1,232,426,586283,806196,72.72214201013153,598060,646132,92.56003417258393
Pithecia_pithecia,White-faced saki,nonVocalLearner,0,32.6,1580,14,158,NA,602106,828726,72.65441171147037,601040,647176,92.87118187324623
Colobus_angolensis,NA,nonVocalLearner,NA,74.4,9670,30,178,573.4,759288,1045868,72.5988365644613,620334,660048,93.9831648607374
Alouatta_palliata,Mantled howler,nonVocalLearner,1,50.04,5952,20,186,368.75,577042,802906,71.86918518481616,594531,645146,92.15448906139075
Cebus_albifrons,White-fronted capuchin,nonVocalLearner,1,62.95,1620,44,158,232.17,575445,802074,71.74462705436156,594518,643616,92.37153830855665
Aotus_nancymaae,Nancy maâ€™s night monkey,nonVocalLearner,0,NA,NA,NA,NA,NA,564340,788960,71.52960859866153,597442,644879,92.6440464025034
Saimiri_boliviensis,NA,nonVocalLearner,NA,24.06,750,30,158,107.5,572039,800758,71.43718826411974,596428,644602,92.52655126729363
Saguinus_imperator,Emperor tamarin,nonVocalLearner,0,NA,NA,17.9,145,46.775,557389,786904,70.83316389292722,593594,644184,92.14665375110216
Callithrix_jacchus,Common marmoset,nonVocalLearner,0,7.73,347.45,12,144,27.12,534138,761870,70.10881121451166,568326,620209,91.63459414487697
Daubentonia_madagascariensis,Aye-aye,nonVocalLearner,0,45.15,2800,23.3,165,121.79,314509,522742,60.16524404008096,560981,620118,90.46358918786424
Lemur_catta,Ring tailed lemur,nonVocalLearner,1,21.63,2090,33,135,70.6,252768,433076,58.36573719162457,550309,610449,90.14823515150324
Eulemur_fulvus,Common brown lemur,nonVocalLearner,1,25.8,2292,36,118,80.85,262187,449880,58.279318929492305,556547,617111,90.18588228049735
Eulemur_flavifrons,Sclater's lemur,nonVocalLearner,1,NA,NA,NA,NA,NA,263295,451921,58.2612890306049,556608,617578,90.12756283416832
Indri_indri,Indri,nonVocalLearner,0,38.3,6250,NA,NA,300,268715,463800,57.9376886589047,554894,619143,89.62291425405763
Cheirogaleus_medius,Fat-tailed dwarf lemur,nonVocalLearner,0,3.34,179.67,20,61,16.33,260640,453804,57.43448713541529,556767,619974,89.80489504398571
Microcebus_murinus,Gray mouse lemur,nonVocalLearner,1,1.84,58,14,61,6,249859,444032,56.27049401844913,549989,619826,88.7328056583622
Propithecus_coquerelli,NA,nonVocalLearner,1,30.1941,3728.5,31,140.99,90.045,258610,459620,56.26604586397459,537033,609994,88.03906267930505
Nycticebus_coucang,Sunda slow loris,nonVocalLearner,0,12.74,655.5,25.8,188,49.94,256689,473271,54.23721292874484,536492,619334,86.62401870396265
Otolemur_garnettii,Small-eared galago,nonVocalLearner,0,11.49575776,764,15,132,14.05,254086,477177,53.247746643279115,538169,621776,86.55351766552585
Homo sapiens,NA,vocalLearner,NA,1250.43,65142.86,84,280,3312.5,NA,NA,100,NA,NA,100
